Marca_Modelo,Precio,Km,Transmision,Combustible,URL
Toyota 4runner 2010,"US$35,000","180,000km",Automática,Gasolina,https://neoauto.com/auto/usado/toyota-4runner-2010-1860511
Bmw X4 20i 2025,"US$55,000","4,700km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x4-20i-2025-1863383
Mitsubishi L200 2022,"US$24,000","5,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/mitsubishi-l200-2022-1852515
Subaru Xv 2018,"US$16,000","67,000km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2018-1847383
Toyota Land Cruiser 1980,"US$38,000","160,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-1980-1863048
Toyota Hilux 2013,"US$16,500","128,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hilux-2013-1861270
Subaru Forester 2017,"US$18,500","57,000km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2017-1800805
Jac T6 2022,"US$17,500","22,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/jac-t6-2022-1858395
Subaru Forester Turbo 2015,"US$15,500","111,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-forester-turbo-2015-1860141
Bmw X1 18i 2022,"US$33,500","19,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2022-1856117
Chevrolet Vivant 2007,"US$7,000","245,000km",Mecánica,Gas GNV,https://neoauto.com/auto/usado/chevrolet-vivant-2007-1856065
Volkswagen Gol 2023,"US$11,500","72,000km",Mecánica,Dual,https://neoauto.com/auto/usado/volkswagen-gol-2023-1861871
Bmw 318i 2017,"US$18,990","48,300km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-318i-2017-1716164
Chevrolet Onix 2020,"US$11,000","46,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/chevrolet-onix-2020-1862628
Bmw 120i 2017,"US$18,900","47,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2017-1862197
Mercedes Benz B180 2014,"US$13,200","71,700km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-b180-2014-1863776
Changan Cs35 2017,"US$8,900","87,500km",Mecánica,Gasolina,https://neoauto.com/auto/usado/changan-cs35-2017-1858028
Bmw X1 20i 2017,"US$23,900","43,335km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x1-20i-2017-1863485
Mg Zx 2024,"US$15,000","54,000km",Automática - Se...,Dual,https://neoauto.com/auto/usado/mg-zx-2024-1859023
Volkswagen Tiguan Allspace 2018,"US$18,300","57,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2018-1863356
Bmw X1 20i 2017,"US$21,500","57,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x1-20i-2017-1861199
Nissan Versa Drive 2022,"US$10,950","99,500km",Mecánica,Dual,https://neoauto.com/auto/usado/nissan-versa-drive-2022-1855441
Bmw 318i 2017,"US$17,500","62,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-318i-2017-1859168
Volkswagen Tiguan Allspace 2018,"US$16,880","70,500km",Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2018-1863181
Subaru Wrx 2017,"US$17,500","140,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-wrx-2017-1862366
Jac Refine 2023,"US$16,300","47,000km",Mecánica,Dual,https://neoauto.com/auto/usado/jac-refine-2023-1861345
Toyota Hilux 2007,"US$14,900","118,000km",Mecánica,Gas GNV,https://neoauto.com/auto/usado/toyota-hilux-2007-1860609
Volkswagen Jetta 2018,"US$11,000","81,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-jetta-2018-1862785
Mini Hatch 5dr 2020,"US$25,500","20,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mini-hatch-5dr-2020-1861420
Land Rover Freelander 2013,"US$11,500","124,860km",Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-freelander-2013-1860767
Zotye Z360 2017,"US$6,000","116,000km",Mecánica,Dual,https://neoauto.com/auto/usado/zotye-z360-2017-1863432
Kia Rio 2014,"US$10,000","72,000km",Automática,Dual,https://neoauto.com/auto/usado/kia-rio-2014-1863389
Hyundai Santa Fe 2012,"US$10,500","239,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/hyundai-santa-fe-2012-1863248
Nissan X-Trail 2016,"US$14,500","52,600km",Automática,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-2016-1862719
Bmw 114i 2014,"US$12,500","72,400km",Mecánica,Gasolina,https://neoauto.com/auto/usado/bmw-114i-2014-1859160
Hyundai Creta 2023,"US$18,500","63,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/hyundai-creta-2023-1861843
Nissan X-Trail 2018,"US$16,000","88,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-2018-1862591
Chevrolet Onix Joy 2021,"US$8,700","34,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/chevrolet-onix-joy-2021-1861023
Ford F-150 1987,"US$5,000","99,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/ford-f-150-1987-1857971
Mazda Cx-5 2022,"US$24,000","42,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2022-1860644
Ford Explorer 2018,"US$26,500","87,100km",Automática,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2018-1862030
Bmw 420i 2018,"US$18,000","103,558km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-420i-2018-1859661
Toyota Fortuner 2017,"US$29,400","72,400km",Automática - Se...,Dual,https://neoauto.com/auto/usado/toyota-fortuner-2017-1859736
Mazda Cx-9 2023,"US$33,500","28,400km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-cx-9-2023-1863015
Mg 6 2020,"US$10,500","76,784km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mg-6-2020-1724463
Mitsubishi Outlander 2016,"US$14,000","70,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mitsubishi-outlander-2016-1814339
Bmw 118i 2022,"US$24,000","59,926km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-118i-2022-1861315
Honda Accord 2010,"US$10,900","91,000km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-accord-2010-1863191
Kia Mohave 2018,"US$23,600","43,000km",Automática - Se...,Dual,https://neoauto.com/auto/usado/kia-mohave-2018-1862005
Volkswagen Touareg 2013,"US$14,000","135,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-touareg-2013-1851583
Bmw X1 18i 2019,"US$20,499","86,700km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2019-1858077
Bmw 330i 2024,"US$52,900","14,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-330i-2024-1743484
Bmw X5 30d 2014,"US$19,800","161,000km",Automática - Se...,Diesel,https://neoauto.com/auto/usado/bmw-x5-30d-2014-1860026
Toyota Land Cruiser Prado 2023,"US$56,900","44,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-prado-2023-1861034
Mazda 3 2015,"US$11,500","78,225km",Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-3-2015-1864013
Chevrolet Onix 2025,"US$14,850","2,300km",Automática,Gasolina,https://neoauto.com/auto/usado/chevrolet-onix-2025-1860286
Haval Jolion 2023,"US$18,000","12,000km",Automática,Gasolina,https://neoauto.com/auto/usado/haval-jolion-2023-1857930
Chevrolet Captiva 2025,"US$19,400","11,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/chevrolet-captiva-2025-1859481
Volkswagen Beetle 2017,"US$18,300","51,571km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-beetle-2017-1863073
Bmw X3 2017,"US$22,000","62,840km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x3-2017-1856282
Honda Hr-V 2016,"US$15,300","49,000km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-hr-v-2016-1861527
Chevrolet Captiva 2020,"US$14,100","72,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/chevrolet-captiva-2020-1853549
Land Rover Range Rover Sport 2010,"US$21,500","103,000km",Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-range-rover-sport-2010-1862433
Mazda 6 2016,"US$12,900","87,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-6-2016-1863596
Geely Gx3 Pro 2024,"US$12,400","42,700km",Automática,Gas GLP,https://neoauto.com/auto/usado/geely-gx3-pro-2024-1858622
Volkswagen Crossfox 2011,"US$8,000","166,660km",Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-crossfox-2011-1863053
Bmw X5 44i 2013,"US$17,800","95,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x5-44i-2013-1858140
Bmw 335ci 2010,"US$14,950","48,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-335ci-2010-1861290
Kia Picanto 2018,"US$9,000","24,000km",Automática,Gasolina,https://neoauto.com/auto/usado/kia-picanto-2018-1858380
Jeep Grand Cherokee 2015,"US$21,990","65,000km",Automática,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-2015-1838518
Mazda Cx-3 2017,"US$12,500","130,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-cx-3-2017-1861109
Mg One 2024,"US$17,900","1,035km",Automática,Gasolina,https://neoauto.com/auto/usado/mg-one-2024-1863194
Mg Zx 2024,"US$12,750","11,300km",Mecánica,Dual,https://neoauto.com/auto/usado/mg-zx-2024-1860528
Suzuki Grand Vitara 2017,"US$15,500","22,300km",Automática,Gasolina,https://neoauto.com/auto/usado/suzuki-grand-vitara-2017-1862651
Audi Q5 2015,"US$15,900","72,300km",Automática,Gasolina,https://neoauto.com/auto/usado/audi-q5-2015-1856068
Volkswagen T-Cross 2024,"US$20,490","14,130km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-t-cross-2024-1863769
Hyundai Kona 2024,"US$25,500","10,500km",Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-kona-2024-1861258
Jeep Grand Cherokee Laredo 2019,"US$21,900","94,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2019-1862218
Hyundai Tucson 2015,"US$14,900","75,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/hyundai-tucson-2015-1863553
Suzuki Grand Nomade 2014,"US$11,800","133,500km",Automática - Se...,Dual,https://neoauto.com/auto/usado/suzuki-grand-nomade-2014-1861880
Mazda 6 2017,"US$12,900","95,700km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-6-2017-1863314
Kia Carnival 2014,"US$20,800","92,500km",Automática,Diesel,https://neoauto.com/auto/usado/kia-carnival-2014-1863676
Toyota Corolla 2015,"US$12,500","72,000km",Automática - Se...,Dual,https://neoauto.com/auto/usado/toyota-corolla-2015-1847192
Lexus Es 250 2017,"US$20,500","62,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/lexus-es-250-2017-1851296
Honda Pilot 2017,"US$22,200","61,612km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2017-1858178
Haval H6 2021,"US$15,990","64,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/haval-h6-2021-1864006
Kia Cerato 2019,"US$16,950","22,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/kia-cerato-2019-1863455
Mercedes Benz A200 2018,"US$17,000","46,300km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-a200-2018-1817780
Honda Pilot 2019,"US$27,800","65,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2019-1861029
Mazda Cx-3 2018,"US$15,500","23,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-cx-3-2018-1858143
Honda Pilot 2019,"US$30,000","69,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2019-1863875
Toyota Hilux 2024,"US$44,000","9,800km",Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hilux-2024-1859349
Bmw X6 50i 2010,"US$20,000","78,000km",Automática - Se...,Eléctrico,https://neoauto.com/auto/usado/bmw-x6-50i-2010-1857836
Land Rover Defender 2021,"US$76,500","41,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/land-rover-defender-2021-1862593
Nissan X-Trail 2019,"US$20,900","47,000km",Automática - Se...,Gas GLP,https://neoauto.com/auto/usado/nissan-x-trail-2019-1725070
Honda Wr-V 2019,"US$13,500","79,982km",Mecánica,Gasolina,https://neoauto.com/auto/usado/honda-wr-v-2019-1863103
Chevrolet Captiva 2011,"US$9,500","103,500km",Mecánica,Dual,https://neoauto.com/auto/usado/chevrolet-captiva-2011-1826878
Honda Pilot 2016,"US$19,900","95,000km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2016-1844247
Land Rover Discovery Sport 2018,"US$19,500","76,000km",Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-discovery-sport-2018-1860906
Mitsubishi Montero Sport 2017,"US$33,500","85,000km",Automática,Diesel,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2017-1863176
Kia Rio 2016,"US$10,900","78,000km",Automática - Se...,Dual,https://neoauto.com/auto/usado/kia-rio-2016-1862802
Audi Q3 2021,"US$29,900","47,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q3-2021-1861129
Toyota Hilux 2023,"US$32,400","75,500km",Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hilux-2023-1863403
Peugeot Pickup Kp1 2023,"US$21,000","81,285km",Mecánica,Diesel,https://neoauto.com/auto/usado/peugeot-pickup-kp1-2023-1863128
Subaru Xv 2018,"US$17,900","66,000km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2018-1861137
Mazda 3 Sport 2009,"US$8,500","76,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-3-sport-2009-1863330
Seat Ateca 2024,"US$22,900","23,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/seat-ateca-2024-1860512
Hyundai Tucson 2023,"US$22,700","55,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/hyundai-tucson-2023-1857992
Ssangyong Actyon Sports 2016,"US$8,900","107,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/ssangyong-actyon-sports-2016-1860422
Lexus Rx 450h F Sport 2022,"US$42,000","88,141km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/lexus-rx-450h-f-sport-2022-1861948
Subaru Outback 2020,"US$27,000","41,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-outback-2020-1837680
Volkswagen Amarok 2016,"US$22,500","146,757km",Automática - Se...,Diesel,https://neoauto.com/auto/usado/volkswagen-amarok-2016-1858906
Subaru Evoltis 2021,"US$34,500","48,000km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-evoltis-2021-1863391
Mitsubishi Montero Sport 2017,"US$25,500","82,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2017-1857710
Toyota Corolla Cross 2024,"US$20,500",,Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-cross-2024-1860170
Audi A4 E 1.8t Multitronic 2016,"US$16,400","55,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a4-e-1-8t-multitronic-2016-1859080
Volkswagen Tiguan Allspace 2020,"US$20,000","60,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2020-1861653
Toyota Rav4 2017,"US$20,499","89,700km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-rav4-2017-1855848
Nissan Tiida 2012,"US$8,800","124,000km",Automática,Dual,https://neoauto.com/auto/usado/nissan-tiida-2012-1864007
Volkswagen Crossfox 2013,"US$9,200","57,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-crossfox-2013-1863006
Volvo Xc-60 2022,"US$39,500","17,000km",Automática,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2022-1859754
Bmw X3 20i 2020,"US$34,000","44,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2020-1864001
Jeep Patriot 2016,"US$17,000","41,000km",Automática,Gasolina,https://neoauto.com/auto/usado/jeep-patriot-2016-1863411
Hyundai Creta 2024,"US$19,950","25,500km",Automática - Se...,Dual,https://neoauto.com/auto/usado/hyundai-creta-2024-1863948
Haval H6 2023,"US$21,300","10,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/haval-h6-2023-1861919
Suzuki Apv Minivan 2016,"US$7,500","106,047km",Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-apv-minivan-2016-1857935
Suzuki Vitara 2018,"US$13,500","113,000km",Mecánica,Dual,https://neoauto.com/auto/usado/suzuki-vitara-2018-1861427
Renault Koleos 2024,"US$20,200","9,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/renault-koleos-2024-1860339
Toyota Hilux 2023,"US$34,200","43,500km",Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hilux-2023-1859951
Volkswagen Tiguan Allspace 2018,"US$19,500","103,000km",Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2018-1862746
Kia Sportage 2017,"US$16,200","96,500km",Automática - Se...,Dual,https://neoauto.com/auto/usado/kia-sportage-2017-1859528
Jeep Cherokee Longitude 2019,"US$19,600","23,900km",Automática,Gasolina,https://neoauto.com/auto/usado/jeep-cherokee-longitude-2019-1858790
Baic X35 2023,"US$11,800","18,500km",Mecánica,Dual,https://neoauto.com/auto/usado/baic-x35-2023-1863358
Bmw M135i 2013,"US$15,500","64,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-m135i-2013-1858766
Nissan Qashqai 2016,"US$15,000","59,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/nissan-qashqai-2016-1860186
Suzuki S-Cross 2019,"US$14,800","27,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-s-cross-2019-1862655
Hyundai Accent 2014,"US$9,600","94,241km",Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-accent-2014-1860416
Audi A6 2022,"US$44,900","45,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a6-2022-1862209
Subaru Forester 2023,"US$33,900","10,300km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2023-1863232
Volkswagen Beetle 2015,"US$15,250","74,400km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-beetle-2015-1861409
Bmw X3 20i 2021,"US$36,500","48,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2021-1858033
Mitsubishi Montero Sport 2016,"US$33,000","100,000km",Automática - Se...,Diesel,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2016-1858136
Land Rover Discovery Sport 2015,"US$15,700","80,600km",Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-discovery-sport-2015-1862388
Ford Ranger Limited 2022,"US$33,500","35,600km",Automática - Se...,Diesel,https://neoauto.com/auto/usado/ford-ranger-limited-2022-1852435
Mazda 3 Sport 2015,"US$11,500","97,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-3-sport-2015-1863360
Toyota Corolla 2023,"US$17,900","51,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-2023-1859916
Mercedes Benz Glc 250 4matic 2019,"US$29,900","68,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glc-250-4matic-2019-1851525
Chevrolet Cruze 2016,"US$10,500","51,900km",Mecánica,Gasolina,https://neoauto.com/auto/usado/chevrolet-cruze-2016-1857563
Volkswagen Crossfox 2018,"US$11,500","77,000km",Automática - Se...,Dual,https://neoauto.com/auto/usado/volkswagen-crossfox-2018-1863390
Subaru Impreza Sport 2022,"US$17,900","17,800km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-sport-2022-1863261
Audi A3 Sedan 2015,"US$13,400","81,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2015-1783431
Citroen C-4 2014,"US$7,200","68,500km",Mecánica,Gasolina,https://neoauto.com/auto/usado/citroen-c-4-2014-1859533
Suzuki Fronx 2026,"US$18,500","4,900km",Automática,Gasolina,https://neoauto.com/auto/usado/suzuki-fronx-2026-1860901
Chevrolet Tahoe 2017,"US$27,500","70,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/chevrolet-tahoe-2017-1862640
Subaru Forester 2014,"US$13,500","107,000km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2014-1859912
Mercedes Benz Glc 250 4matic 2018,"US$26,900","84,000km",Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glc-250-4matic-2018-1846475
Porsche Cayenne Coupe 2021,"US$77,000","48,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/porsche-cayenne-coupe-2021-1858641
Audi Q3 2020,"US$26,500","82,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q3-2020-1854320
Renault Symbol 2010,"US$6,000","99,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/renault-symbol-2010-1860108
Mercedes Benz C-180 2017,"US$17,800","65,200km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-c-180-2017-1861361
Ford Explorer 2017,"US$24,000","79,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2017-1861153
Bmw 740i 2012,"US$16,900","69,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-740i-2012-1863023
Toyota Land Cruiser Prado 2021,"US$42,000","61,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-prado-2021-1862873
Honda Hrv 2017,"US$15,000","52,000km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-hrv-2017-1859943
Toyota Corolla 2015,"US$15,500","65,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-2015-1858836
Volvo S60 2013,"US$9,000","80,000km",Automática,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2013-1863838
Peugeot Partner 2020,"US$6,900","167,300km",Mecánica,Dual,https://neoauto.com/auto/usado/peugeot-partner-2020-1862496
Kia Picanto 2013,"US$6,900","87,500km",Mecánica,Gasolina,https://neoauto.com/auto/usado/kia-picanto-2013-1862480
Toyota Camry 2013,"US$11,500","123,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-camry-2013-1863515
Honda Cr-V 2008,"US$18,000","105,695km",Automática,Dual,https://neoauto.com/auto/usado/honda-cr-v-2008-1859021
Volvo S60 2012,"US$11,000","57,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2012-1859861
Bmw X3 20i 2017,"US$27,000","58,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2017-1863093
Jeep Cherokee Sport 2015,"US$13,500","67,300km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-cherokee-sport-2015-1856239
Volvo Xc-60 2013,"US$15,500","118,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2013-1859171
Volkswagen Bora 2015,"US$7,650","165,000km",Automática - Se...,Gas GLP,https://neoauto.com/auto/usado/volkswagen-bora-2015-1862434
Subaru Impreza Sport 2019,"US$15,800","51,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-sport-2019-1862390
Volkswagen Gol 1995,"US$3,800","200,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-gol-1995-1862461
Hyundai Tucson 2008,"US$8,300","232,000km",Automática - Se...,Dual,https://neoauto.com/auto/usado/hyundai-tucson-2008-1863474
Honda Pilot 2017,"US$21,900","83,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2017-1862570
Dfsk Glory 500 2022,"US$11,490","34,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/dfsk-glory-500-2022-1860674
Mitsubishi Montero Sport 2014,"US$22,000","111,500km",Automática - Se...,Diesel,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2014-1863708
Bmw X1 18i 2018,"US$20,900","52,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2018-1859469
Suzuki Grand Nomade 2008,"US$9,300","159,913km",Automática,Gasolina,https://neoauto.com/auto/usado/suzuki-grand-nomade-2008-1863763
Peugeot 208 2013,"US$7,000","97,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/peugeot-208-2013-1859297
Honda Wr-V 2021,"US$15,000","32,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-wr-v-2021-1863044
Toyota Land Cruiser Prado 2012,"US$25,000","208,000km",Automática,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-prado-2012-1862910
